id,name,content,day,starttime,people,influencer_id
28,"1stサマー,2ndスプリングさんのメイク","ブルベ夏と診断された方は、2ndがイエベ春の方も多いんじゃないでしょうか？
そういう方は、とにかく「薄い色・明るい色」のメイクが大切！
今回は、1stサマー,2ndスプリングである私流のおすすめコスメの選び方を紹介してみます！
是非最後までご参加いただけると嬉しいです♪",2023-2-21,20:00:00,3,28
29,パーソナルカラー別の王道メイクレッスン,"サロンで紹介させていただいて人気だったものや、実際に診断でお客様から人気だったものをパーソナルカラー別に厳選しました💄✨✨

他にもいっぱい紹介したいところだったけど今回は厳選選抜メンバーです👍💕自分のパーソナルカラーが分かっていたら、このコスメだけ揃えれば大丈夫です！",2023-3-5,12:00:00,4,29
30,【お話会あり】まだあまり知られていない！？海外ブランドおすすめコスメ,"このカウンセリングでは、メイクをするすべての方に向けて、海外コスメを、日本にまだあまりでていないような詳細情報や、海外での反応などもふまえ皆様にシェアしています💕

カウンセリング後半は、参加者様同士が楽しくワクワクできるような素敵な情報交換の場になればと思っています💗",2023-2-18,13:00:00,5,30
31,一重メイク達人👍直伝‼️今🇰🇷韓国で実際流行ってる一重メイク💄💋✨,"元々のパーソナリティーを前に出した韓国風一重さんメイクになります♡
一重さんや奥二重さんで可愛らしい印象に見せたい！
という方に必見のメイクテクニックです。

自分の個性を味方につけた人こそ、素敵な雰囲気を纏えることができるので、このメイク術を手にしてくださいね♡",2023-2-20,19:00:00,3,31
32,肌悩み別カラーコントローラーの選び方,"コントロールカラー下地の使い方って正直よく分からないよね？
ということで今回は代表的なコントロールカラーの効果をご紹介✨
ベースメイクといってもただ肌をきれいに見せるメイクではなく、肌がキレイな上に+α女性らしく、佇んでいるだけなのに幸せ顔に見える
メイクテクニックになります。
色効果の違いが伝わったら嬉しいです！
",2023-3-3,11:00:00,4,32
33,イエベ春・イエベ秋のピンクメイク,"最近のプチプラコスメって、本当に優秀ですよね〜〜〜
今日のテーマはイエベピンクメイクです♡
イエベでも似合うピンクメイク見つけたのでぜひ最後まで見て欲しいです👀🍓",2023-3-5,12:00:00,5,33
34,🇰🇷最新トレンド韓国メイク🇰🇷,"2023年、韓国コスメのトレンド
今年は絶対これが流行ります！
韓国で今実際流行ってるメイクを
ひと昔流行ってたメイクと比べて一緒に分析してみよう💪
特に今年はまつ毛がしっかり上がるアイドルスタイルのアイメイクが流行しているそうです。
つけまつ毛をするのもいいですが、付けるのが上手くいかなくて難しい方々に今回ご紹介する方法を通して真似してくれたら嬉しいです❤️",2023-2-24,18:00:00,3,34
35,K-POPアイドルのメイク常識,"今回は、「ミュートメイク」のご紹介です。

ミュートメイクは今韓国で流行り始めているメイクになります。
今韓国ではブルベさん向きのアイシャドウが色の彩度が落ち着いていて、以前のようなトーンが明るいものが少なくなってきました。

今回はどんな肌のトーンにも合うミュートメイクをご紹介しますので、是非参加してみてください♡

YouTubeや雑誌のwebサイトを参考に共通していたポイントをまとめたので参考にしていただけたら嬉しいです💓",2023-2-19,17:00:00,4,35
36,明日から実践できる✨ちょっと仕込ませるオフィスメイク,"誰から見ても好印象に見えるオフィスメイクのご紹介🤍
好感度の高いオフィスメイクはみなさんの人生を豊かにしてくれるの。
会社にいながらも強さがあって自立心が感じられる、そんなメイクになっております。

オフィスメイクは1日中崩さないのがポイントです。
日常にすぐ取り入れられるテクニックで仕上げておりますので、是非参考にしてくださいね♡
是非明日から皆さんトライしてみてくださいね！",2023-2-23,17:00:00,5,36
37,【毎日メイク】こだわりと研究を重ねた絶対に盛れるメイクを大紹介,"お気に入りすぎて毎日使い倒していた愛用コスメたちを使ったメイクを紹介します。
参考にできる工程もあると思うので是非真似してみてください🤍☁️
",2023-3-5,10:00:00,3,37
38,【絶対流行る】ナチュラルなのに激盛れ『白湯メイク』徹底解説❗️※ナチュラルと見せかけて激変詐欺メイク,"純欲メイク」の次に流行るとい噂の「白湯メイク」に挑戦します🥹❤️‍🔥
なんとな〜く自分なりの白湯メイクを研究中ですが、しっかり盛れる予感です♡
ナチュラルメイクだから盛れるの？！って思ってたけどマジで盛れるからみんなに紹介します❤️‍🔥",2023-2-27,13:00:00,4,38
39,顔立ち別！印象が変わる眉毛の書き方,"このカウンセリング1本で眉毛の全てが詰まっています💫
垢抜け•イメチェンは眉毛から！☺️
是非ご参考に🕊
眉毛についてのお悩みがあれば、質問フォームからお願いいたします🙇",2023-2-25,14:00:00,5,39
40,"【初心者入門】オーガニックコスメを選ぶ上で知っておいてほしいこと
","オーガニックコスメ初心者の方向けに基礎知識をまとめました♪
肌はいくつになっても応えてくれます！
まずは間違った知識をなおし成分や化粧品のしくみなど正しく理解することが美肌への近道です。

＊こんな方に見てほしいです＊
✔️敏感肌・乾燥肌の方
✔️繰り返す肌荒れに悩んでいる方
✔️透明感のあるツヤ肌を目指している方
✔️ナチュラルコスメが好きな方",2023-2-18,19:00:00,3,40
41,【⚠️モテ過ぎ注意】自己肯定感爆上げなモテメイクを徹底解説します❤︎,"可愛いメイクにしたいけど媚びた感じに見られたくないですよね。
ちょっと素敵な大人の女性というメイクを演出したテクニックご紹介してます。

赤みとパープルをプラスした優しい雰囲気だけど、しっかり主張を出すメイクルックになりますので、是非みなさん参考にしてみてくださいね♡

後半は、軽くですがパーソナルカラー別におすすめのコスメもご紹介する予定です🤗",2023-3-2,15:00:00,4,1
42,【儚げかわいい。】抜け感最強！ふわふわ☁️色素薄いピンクメイク☁️,"今回のテーマは..儚げメイクです！！！
最近ピンク系で昔みたいな儚い雰囲気だったり可愛い雰囲気のメイクが凄くしたくて、やっと出来た〜！
可愛くて儚げなのに、ぼんやりしない絶妙な立体感を意識してます！

少し前まではちょっと強めのかっこいい雰囲気のメイクだったり、綺麗系のメイクをしたくなる事が多かったんだけど、ピンクのアイシャドウパレットを見た瞬間に「儚い！！！可愛い！！メイクしたい！！！」ってなった🙌
個人的には凄くいい感じに...というかなりたい雰囲気にメイク出来るようになったので嬉しい...😌💭

可愛いほわほわ系女子になりたい方はぜひ参加してみてください🙋‍♀️",2023-2-23,17:00:00,5,10
43,【アイメイク】アイシャドウを綺麗に塗る為の7つのポイント！,"🌼アイメイク ブラシの使い分け方
🌼綺麗なアイラインの描き方
🌼アイメイク失敗した時の修正方法🌼アイメイク6つのお悩み解決▶︎
🌼自まつげビューラー

以上の内容を紹介予定です。
参加者様のお悩みにアドバイスすることもできますので、ぜひご参加ください。",2023-2-22,16:00:00,3,15
44,【アイラインのすべて。】初心者さんにも❗️失敗しないためのコツ。色々な書き方。,"今回はアイラインのすべて。です！
このカウンセリングを通じて是非アイラインの練習をしてください✨
アイラインは練習をすればスラスラ描けるようになります☺️
目の形によって似合う引き方が違うので、取り入れそうなものをいくつか取り入れてみてくださいませ♡
",2023-3-2,17:00:00,4,20
45,ニュートラルなアイテム💄パーソナルカラー関係無く使えるコスメを使ったメイク講座,"今回は、パーソナルカラー関係なく使えるコスメでメイクをレクチャーさせていただきます！

私自身、パーソナルカラーを勉強する前まではいまいち4タイプだけの診断結果に納得感がなくて結局自分に似合う色がよくわからないままコスメ選びをする日々でした。

でも、パーソナルカラー関係なく使えるニュートラルなアイシャドウやリップを知ってからは本当にコスメ選びがシンプルに、かつ迷う事も失敗する事もすごく減りました！

このカウンセリングを通して、皆さんがより似合うメイクにたどり着きやすくなりますように・・！",2023-2-19,19:00:00,5,25
46,【シェーディング】あなたの本当に入れるべき場所を伝授！美人顔を引き出す,"今季感のあるトレンドのシェーディングアイテムと方法をご紹介しております。

シェーディングの色の選び方は人それぞれですが、「影を入れる」ことを考えるとグレーが入っている方が良いと聞きました👌🏻

理由としては絵で影を描く時にグレーや黒を使うように、顔にもグレーを使った方が陰影が生まれるということらしいです！（かなり前に見たメイクアップアーティストさん曰く）

ちなみに欧米では、オレンジや赤みブラウン＝ブロンザー（肌に温かみを出して日焼けした健康的な肌にする）
グレー系＝コントゥア（陰影をつける。ハイライトとセットで使われることが多い）
という考え方なので、日本のシェーディングはコントゥアよりだとすると、パーソナルカラー関係なくある程度グレーが入っていた方がいい気がします👌🏻

お顔の輪郭やコンプレックス別にシェーディングの入れ方をレクチャーしますので、ぜひ参考にしてみていただければと思います。",2023-2-21,20:00:00,3,30
47,【世界観メイク】BLACKPINK『How You Like That』🖤🤍 INSPIRED MAKE UP,"今回はBLACKPINKさんの人気曲how you like that の世界観メイクです。
全メンバーミステリアスで魅力的なメイクに衣装、髪色など全てこの動画に取り込みたかったですが、私なりに厳選して普段メイクでも使えそうなメイクに仕上げてみました！

我ながら満足な仕上がりなので、BLACKPINKさんを知らない方も是非ご参加ください...🖤",2023-2-24,17:00:00,4,35
48,【敏感肌】お肌を超絶いたわったベースメイク術【ノーファンデ】,"実は私、2年くらい前までニキビだらけでした...。
本当はお肌を休ませたいけど、
肌荒れ恥ずかしいから隠したい....。

そんなお悩みを解決する方法を
編み出しました😭！！


このベースメイク方法に変えてからは、肌荒れがしにくくなったんです〜！

綺麗になると前向きになれるので、
お肌も心もハッピーです。！


ぜひ皆さんに試してみてほしい〜🥺！！！",2023-3-4,16:00:00,5,40
